gds,png,gds_bytes,png_bytes,width,height,status,error
/home/ubuntu/FlowGuard-recovery/designs/crossbar_datapath_v1/runs/crossbar_datapath_v1-full/57-magic-streamout/crossbar_datapath_v1.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__designs__crossbar_datapath_v1__runs__crossbar_datapath_v1-full__57-magic-streamout__crossbar_datapath_v1.gds.png,7006066,104679,1000,625,success,
/home/ubuntu/FlowGuard-recovery/designs/crossbar_datapath_v1/runs/crossbar_datapath_v1-full/57-magic-streamout/crossbar_datapath_v1.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__designs__crossbar_datapath_v1__runs__crossbar_datapath_v1-full__57-magic-streamout__crossbar_datapath_v1.magic.gds.png,7006066,104679,1000,625,success,
/home/ubuntu/FlowGuard-recovery/designs/crossbar_datapath_v1/runs/crossbar_datapath_v1-full/final/gds/crossbar_datapath_v1.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__designs__crossbar_datapath_v1__runs__crossbar_datapath_v1-full__final__gds__crossbar_datapath_v1.gds.png,7006066,104679,1000,625,success,
/home/ubuntu/FlowGuard-recovery/designs/crossbar_datapath_v1/runs/crossbar_datapath_v1-full/final/mag_gds/crossbar_datapath_v1.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__designs__crossbar_datapath_v1__runs__crossbar_datapath_v1-full__final__mag_gds__crossbar_datapath_v1.magic.gds.png,7006066,104679,1000,625,success,
/home/ubuntu/FlowGuard-recovery/designs/crossbar_datapath_v1/runs/crossbar_datapath_v1-full/58-klayout-streamout/crossbar_datapath_v1.klayout.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__designs__crossbar_datapath_v1__runs__crossbar_datapath_v1-full__58-klayout-streamout__crossbar_datapath_v1.klayout.gds.png,4004608,111287,1000,625,success,
/home/ubuntu/FlowGuard-recovery/designs/crossbar_datapath_v1/runs/crossbar_datapath_v1-full/final/klayout_gds/crossbar_datapath_v1.klayout.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__designs__crossbar_datapath_v1__runs__crossbar_datapath_v1-full__final__klayout_gds__crossbar_datapath_v1.klayout.gds.png,4004608,111287,1000,625,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p0-g0p05-sAREA_0/final/gds/tt_um_flowguard_stress.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p0-g0p05-sAREA_0__final__gds__tt_um_flowguard_stress.gds.png,2181482,44659,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p0-g0p05-sAREA_0/final/mag_gds/tt_um_flowguard_stress.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p0-g0p05-sAREA_0__final__mag_gds__tt_um_flowguard_stress.magic.gds.png,2181482,44659,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p0-g0p05-sAREA_0/final/klayout_gds/tt_um_flowguard_stress.klayout.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p0-g0p05-sAREA_0__final__klayout_gds__tt_um_flowguard_stress.klayout.gds.png,1304198,45906,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p0-g0p2-sAREA_0/final/gds/tt_um_flowguard_stress.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p0-g0p2-sAREA_0__final__gds__tt_um_flowguard_stress.gds.png,2173556,45177,1000,312,success,
