trial_id,candidate,config,status_file,metrics_file,parser_status,parsed_record
server-01,"20.0,30,38,0,0.05,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-01/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-01/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-02,"20.0,35,45,1,0.10,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-02/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-02/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-03,"20.0,40,52,2,0.15,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-03/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-03/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-04,"20.0,30,45,1,0.15,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-04/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-04/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-05,"20.0,35,52,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-05/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-05/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-06,"20.0,40,38,0,0.05,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-06/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-06/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-07,"20.0,30,52,2,0.05,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-07/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-07/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-08,"20.0,35,38,0,0.10,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-08/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-08/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-09,"20.0,40,45,1,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-09/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-09/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-10,"20.0,30,38,1,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-10/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-10/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-11,"20.0,35,45,2,0.05,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-11/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-11/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-12,"20.0,40,52,0,0.10,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-12/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-12/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-13,"20.0,30,45,2,0.10,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-13/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-13/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-14,"20.0,35,52,0,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-14/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-14/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-15,"20.0,40,38,1,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-15/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-15/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-16,"20.0,30,52,0,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-16/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-16/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-17,"20.0,35,38,1,0.05,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-17/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-17/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-18,"20.0,40,45,2,0.10,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-18/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-18/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-19,"20.0,30,38,2,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-19/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-19/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-20,"20.0,35,45,0,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-20/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-20/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-21,"20.0,40,52,1,0.05,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-21/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-21/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-22,"20.0,30,45,0,0.05,AREA 2",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-22/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-22/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-23,"20.0,35,52,1,0.10,AREA 0",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-23/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-23/status.json,,PLACEMENT_FAIL/NO_METRICS,
server-24,"20.0,40,38,2,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/server_experiment_v2_configs/server-24/config.json,/home/ubuntu/Flow-Guard/results/server_experiment_v2_runs/trial_server-24/status.json,,PLACEMENT_FAIL/NO_METRICS,
