seed,method,cohort,call,phase,candidate_id,feasible,qor,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s,fallback_used,p_feas,ei,calibration_detail
11,vanilla_bo_penalty,original,1,shared_init,cb36_001,True,0.3112996180098017,0.3112996180098017,0.0,788.3827151639998,0.0,False,,,
11,vanilla_bo_penalty,original,2,shared_init,cb36_034,False,,0.3112996180098017,578.0116634930018,1366.3943786570017,0.0,False,,,
11,vanilla_bo_penalty,original,3,shared_init,cb36_003,False,,0.3112996180098017,1280.1711337809975,2068.5538489449973,0.0,False,,,
11,vanilla_bo_penalty,original,4,shared_init,cb36_020,False,,0.3112996180098017,2037.0307038269966,2825.4134189909964,0.0,False,,,
11,vanilla_bo_penalty,original,5,shared_init,cb36_019,False,,0.3112996180098017,2572.083877223995,3360.4665923879948,0.0,False,,,
11,vanilla_bo_penalty,original,6,shared_init,cb36_024,False,,0.3112996180098017,3331.7396346579917,4120.1223498219915,0.0,False,,,
11,vanilla_bo_penalty,original,7,shared_init,cb36_029,False,,0.3112996180098017,3849.422576438985,4637.805291602985,0.0,False,,,
11,vanilla_bo_penalty,original,8,shared_init,cb36_015,False,,0.3112996180098017,4382.071702616988,5170.454417780988,0.0,False,,,
11,vanilla_bo_penalty,original,9,adaptive,cb36_005,True,0.3112996180098017,0.3112996180098017,4382.071702616988,5953.490529286988,0.008730436995392665,False,1.0,0.004497725426507525,vanilla-bo: no feasibility model
11,vanilla_bo_penalty,original,10,adaptive,cb36_000,False,,0.3112996180098017,5028.882752959988,6600.301579629988,0.0171342309913598,False,1.0,0.005247876822042377,vanilla-bo: no feasibility model
11,vanilla_bo_penalty,original,11,adaptive,cb36_013,False,,0.3112996180098017,5610.846030885987,7182.264857555987,0.02437177397951018,False,1.0,0.0037954448593972984,vanilla-bo: no feasibility model
11,vanilla_bo_penalty,original,12,adaptive,cb36_009,True,0.3112996180098017,0.3112996180098017,5610.846030885987,7970.894840537985,0.03269336698576808,False,1.0,0.0038497775088629747,vanilla-bo: no feasibility model
11,vanilla_bo_penalty,original,13,adaptive,cb36_021,False,,0.3112996180098017,6190.5426122149875,8550.591421866986,0.03867073998844717,False,1.0,0.008899754642155332,vanilla-bo: no feasibility model
11,vanilla_bo_penalty,original,14,adaptive,cb36_011,False,,0.3112996180098017,6888.2148941639825,9248.263703815981,0.04543643999204505,False,1.0,0.003413944459216122,vanilla-bo: no feasibility model
11,vanilla_bo_penalty,original,15,adaptive,cb36_006,True,-0.09306823743826212,-0.09306823743826212,6888.2148941639825,9852.43859992698,0.05288618500344455,False,1.0,0.0021171047287818334,vanilla-bo: no feasibility model
