seed,method,call,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s
29,vanilla_bo_penalty,16,-0.093068237,9951.640,12919.489,0.0590
29,vanilla_bo_penalty,17,-0.093068237,9951.640,13523.664,0.0692
29,vanilla_bo_penalty,18,-0.093068237,9951.640,14135.539,0.0795
29,vanilla_bo_penalty,19,-0.093068237,10470.685,14654.584,0.0881
29,vanilla_bo_penalty,20,-0.093068237,10985.834,15169.733,0.0952
29,vanilla_bo_penalty,21,-0.093068237,11687.993,15871.892,0.1017
29,vanilla_bo_penalty,22,-0.093068237,12385.666,16569.565,0.1084
29,vanilla_bo_penalty,23,-0.093068237,12967.629,17151.528,0.1172
29,vanilla_bo_penalty,24,-0.093068237,13547.325,17731.225,0.1239
29,flowguard_calibrated,1,,1337.300,1337.300,0.0000
29,flowguard_calibrated,2,0.311299618,1337.300,2125.930,0.0000
29,flowguard_calibrated,3,0.311299618,2094.190,2882.820,0.0000
29,flowguard_calibrated,4,0.311299618,2094.190,3671.202,0.0000
29,flowguard_calibrated,5,0.311299618,3439.385,5016.398,0.0000
29,flowguard_calibrated,6,0.311299618,4070.490,5647.503,0.0000
29,flowguard_calibrated,7,0.311299618,4577.246,6154.258,0.0000
29,flowguard_calibrated,8,0.311299618,5300.174,6877.186,0.0000
29,flowguard_calibrated,9,0.311299618,5946.985,7523.997,0.0582
29,flowguard_calibrated,10,-0.093068237,5946.985,8131.798,0.1165
29,flowguard_calibrated,11,-0.093068237,7285.126,9469.940,0.3636
29,flowguard_calibrated,12,-0.093068237,7285.126,10074.115,0.5688
29,flowguard_calibrated,13,-0.093068237,7866.224,10655.212,0.8300
29,flowguard_calibrated,14,-0.093068237,8451.183,11240.171,1.0360
29,flowguard_calibrated,15,-0.093068237,9029.194,11818.183,1.2468
29,flowguard_calibrated,16,-0.093068237,9029.194,12430.057,1.4502
29,flowguard_calibrated,17,-0.093068237,9785.162,13186.025,1.6574
29,flowguard_calibrated,18,-0.093068237,10286.147,13687.010,1.8648
29,flowguard_calibrated,19,-0.093068237,11045.803,14446.666,2.0725
29,flowguard_calibrated,20,-0.093068237,11805.098,15205.961,2.2994
29,flowguard_calibrated,21,-0.093068237,12305.700,15706.563,2.6080
29,flowguard_calibrated,22,-0.093068237,12845.463,16246.326,2.8269
29,flowguard_calibrated,23,-0.093068237,13378.112,16778.975,3.0434
29,flowguard_calibrated,24,-0.093068237,14134.972,17535.835,3.2654
29,ei_only_ablation,1,,1337.300,1337.300,0.0000
29,ei_only_ablation,2,0.311299618,1337.300,2125.930,0.0000
29,ei_only_ablation,3,0.311299618,2094.190,2882.820,0.0000
29,ei_only_ablation,4,0.311299618,2094.190,3671.202,0.0000
29,ei_only_ablation,5,0.311299618,3439.385,5016.398,0.0000
29,ei_only_ablation,6,0.311299618,4070.490,5647.503,0.0000
29,ei_only_ablation,7,0.311299618,4577.246,6154.258,0.0000
29,ei_only_ablation,8,0.311299618,5300.174,6877.186,0.0000
29,ei_only_ablation,9,0.311299618,5946.985,7523.997,0.0019
29,ei_only_ablation,10,-0.093068237,5946.985,8131.798,0.0038
29,ei_only_ablation,11,-0.093068237,7285.126,9469.940,0.0096
29,ei_only_ablation,12,-0.093068237,7285.126,10074.115,0.0174
29,ei_only_ablation,13,-0.093068237,7870.085,10659.073,0.0263
29,ei_only_ablation,14,-0.093068237,8451.183,11240.171,0.0362
29,ei_only_ablation,15,-0.093068237,9029.194,11818.183,0.0488
29,ei_only_ablation,16,-0.093068237,9788.850,12577.839,0.0577
29,ei_only_ablation,17,-0.093068237,10289.452,13078.441,0.0691
29,ei_only_ablation,18,-0.093068237,11048.747,13837.735,0.0819
29,ei_only_ablation,19,-0.093068237,11549.732,14338.721,0.0909
29,ei_only_ablation,20,-0.093068237,12305.700,15094.688,0.1023
29,ei_only_ablation,21,-0.093068237,12305.700,15706.563,0.1116
29,ei_only_ablation,22,-0.093068237,13061.339,16462.202,0.1215
29,ei_only_ablation,23,-0.093068237,13593.988,16994.851,0.1335
29,ei_only_ablation,24,-0.093068237,14350.847,17751.710,0.1446
47,vanilla_bo_penalty,1,,1338.142,1338.142,0.0000
47,vanilla_bo_penalty,2,,1870.791,1870.791,0.0000
47,vanilla_bo_penalty,3,,2572.950,2572.950,0.0000
47,vanilla_bo_penalty,4,,3332.606,3332.606,0.0000
47,vanilla_bo_penalty,5,,4677.802,4677.802,0.0000
47,vanilla_bo_penalty,6,,5434.692,5434.692,0.0000
47,vanilla_bo_penalty,7,,6106.721,6106.721,0.0000
47,vanilla_bo_penalty,8,-0.093068237,6106.721,6714.522,0.0000
47,vanilla_bo_penalty,9,-0.093068237,6106.721,7318.696,0.0067
47,vanilla_bo_penalty,10,-0.093068237,6106.721,7930.571,0.0138
47,vanilla_bo_penalty,11,-0.093068237,6804.393,8628.243,0.0227
47,vanilla_bo_penalty,12,-0.093068237,7319.542,9143.392,0.0301
47,vanilla_bo_penalty,13,-0.093068237,7319.542,9931.775,0.0383
47,vanilla_bo_penalty,14,-0.093068237,7901.505,10513.738,0.0452
47,vanilla_bo_penalty,15,-0.093068237,7901.505,11296.775,0.0541
47,vanilla_bo_penalty,16,-0.093068237,7901.505,12085.404,0.0610
47,vanilla_bo_penalty,17,-0.093068237,8402.491,12586.390,0.0706
47,vanilla_bo_penalty,18,-0.093068237,9158.458,13342.357,0.0775
47,vanilla_bo_penalty,19,-0.093068237,9738.155,13922.054,0.0870
47,vanilla_bo_penalty,20,-0.093068237,10388.060,14571.959,0.0955
47,vanilla_bo_penalty,21,-0.093068237,11034.871,15218.770,0.1044
47,vanilla_bo_penalty,22,-0.093068237,11615.969,15799.868,0.1115
47,vanilla_bo_penalty,23,-0.093068237,12122.724,16306.623,0.1202
47,vanilla_bo_penalty,24,-0.093068237,12640.407,16824.306,0.1286
47,flowguard_calibrated,1,,1338.142,1338.142,0.0000
47,flowguard_calibrated,2,,1870.791,1870.791,0.0000
47,flowguard_calibrated,3,,2572.950,2572.950,0.0000
47,flowguard_calibrated,4,,3332.606,3332.606,0.0000
47,flowguard_calibrated,5,,4677.802,4677.802,0.0000
